case_id,requested_time_min_s,effective_first_selected_time_s,frame_index,time_s,seaward_distance_m,landward_distance_m,side,zone,candidate_count_before_global_sampling,displayed_arrow_count,displayed_speed_max_mps,displayed_top10_mean_speed_mps,displayed_top10_count,displayed_max_point_id,displayed_max_x_m,displayed_max_y_m,displayed_max_u_mps,displayed_max_v_mps,displayed_max_h_m,displayed_max_m,displayed_max_b0_m,displayed_max_b_current_m,displayed_max_shoreline_distance_m,displayed_max_static_zone,displayed_max_dynamic_wet,displayed_max_source_topo_id,displayed_max_native_dx_m,displayed_max_native_dy_m,displayed_max_effective_resolution_m,displayed_max_source_precedence_rank,colorbar_fraction,colorbar_saturated
aqaba_lsa_c10_angm25,900,900,50,1620,1000,500,east,combined_coastal,202892,330,15.739074614,12.9439479677,10,669734,85504.0703125,3156553,15.657204628,-1.60325074196,1.04729831219,0,-2.94090185383,-1.21296842396,23.7704479582,seaward,true,topo-bathy.tt3,30,30,30,1,0.57278569835,false
aqaba_lsa_c10_angm25,900,900,50,1620,1000,500,west,seaward,202892,262,4.94952925021,4.25277031763,10,675005,59214.28125,3157993.5,0.532662510872,-4.92078351974,1.75412809849,0,-1.72861265017,-1.47849610448,45.9803414853,seaward,true,topo-bathy.tt3,30,30,30,1,0.180126191509,false
aqaba_lsa_c10_angm25,900,900,50,1620,1000,500,west,landward_inundated,202892,111,5.49815161435,3.63362545646,10,688894,61165.0078125,3161835,5.21399688721,1.74467980862,0.497519880533,0,0.0168940027711,-0.0272590517998,3.85449152913,landward,true,topo-bathy.tt3,30,30,30,1,0.200091980584,false
aqaba_lsa_c10_angm25,900,900,50,1620,1000,500,west,combined_coastal,202892,373,5.49815161435,4.58169085416,10,688894,61165.0078125,3161835,5.21399688721,1.74467980862,0.497519880533,0,0.0168940027711,-0.0272590517998,3.85449152913,landward,true,topo-bathy.tt3,30,30,30,1,0.200091980584,false
aqaba_lsa_c10_angm25,900,900,51,1740,1000,500,east,seaward,214468,275,12.2951241809,10.1478228511,10,664209,85053.90625,3154602.25,6.54559135437,10.4079446793,1.0091381073,0,-0.250092803387,-2.56299185753,1.41806342858,seaward,true,topo-bathy.tt3,30,30,30,1,0.447451420304,false
aqaba_lsa_c10_angm25,900,900,51,1740,1000,500,east,landward_inundated,214468,47,12.5434861811,9.34237292324,10,680743,87304.7421875,3159014,12.039525032,3.51978445053,0.834404885769,0,1.23269721698,-1.67155724764,9.98247527903,landward,true,topo-bathy.tt3,30,30,30,1,0.456489956888,false
aqaba_lsa_c10_angm25,900,900,51,1740,1000,500,east,combined_coastal,214468,322,12.5434861811,11.2665459917,10,680743,87304.7421875,3159014,12.039525032,3.51978445053,0.834404885769,0,1.23269721698,-1.67155724764,9.98247527903,landward,true,topo-bathy.tt3,30,30,30,1,0.456489956888,false
aqaba_lsa_c10_angm25,900,900,51,1740,1000,500,west,seaward,214468,290,5.40814284344,4.37323936849,10,594662,50180.9179688,3130233.25,-1.69119501114,-5.13691234589,2.34344577789,0,-3.02604909715,-2.98330760002,124.959539955,seaward,true,topo-bathy.tt3,30,30,30,1,0.196816328236,false
aqaba_lsa_c10_angm25,900,900,51,1740,1000,500,west,landward_inundated,214468,97,4.76010958298,3.60908097826,10,690806,60744.8515625,3162525.25,4.63745355606,1.07362365723,0.621045589447,0,1.803686191,0.145047187805,34.5816090243,landward,true,topo-bathy.tt3,30,30,30,1,0.173232719114,false
aqaba_lsa_c10_angm25,900,900,51,1740,1000,500,west,combined_coastal,214468,387,5.40814284344,4.52147054323,10,594662,50180.9179688,3130233.25,-1.69119501114,-5.13691234589,2.34344577789,0,-3.02604909715,-2.98330760002,124.959539955,seaward,true,topo-bathy.tt3,30,30,30,1,0.196816328236,false
