case_id,requested_time_min_s,side,station_id,alongshore_distance_m,displayed_arrow_count,frame_presence_fraction,median_frame_local_max_speed_mps,median_frame_local_top3_mean_speed_mps,max_speed_mps,unique_hotspot_count,recurrent_hotspot_count,median_u_parallel,median_u_normal,median_alignment_to_isobath_deg,median_alignment_to_shoreline_tangent_deg,median_u_parallel_isobath,median_u_downslope,raw_source_id,raw_source_native_resolution_m,raw_source_multibeam,distance_to_raw_source_boundary_m
aqaba_lsb_nc10_angm20,900,west,west_0090,45000,1,0.0833333333333,5.95906274432,5.95906274432,5.95906274432,1,1,5.95788749301,0.118344460681,1.1709239609,1.1379447099,-5.95781838739,0.121773780232,gmrt_shore_blend,54,unknown,207.432572713
aqaba_lsc_c10_angm30,900,east,east_0055,27500,3,0.75,32.4614455626,28.7907531064,33.1052902202,3,2,29.2524822629,14.0725878738,24.4291889649,25.6398962236,29.7610274066,8.60450537635,gmrt_shore_blend,54,unknown,87.4612520908
aqaba_lsc_c10_angm30,900,east,east_0129,64500,1,0.291666666667,24.6108579738,24.6108579738,24.6108579738,1,1,-19.5751458934,14.9167018292,27.1500363243,37.3082166453,-21.8991016904,11.2304797476,gmrt_shore_blend,54,unknown,69.1441909042
aqaba_lsc_c10_angm30,900,east,east_0164,82000,1,0.25,22.1504669592,22.1504669592,22.1504669592,1,1,-20.9992728269,-7.04795908395,2.27714433982,18.5532316345,-22.1329752769,-0.880109026555,copernicus_a2_land_core,30,false,43.7306260454
aqaba_lsc_c10_angm30,900,east,east_0127,63500,1,0.0416666666667,18.349127481,18.349127481,18.349127481,1,0,8.32618055895,-16.3513056548,87.7951121158,63.0145392254,0.705947004351,-18.3355424829,copernicus_a2_land_core,30,false,30.9222222222
aqaba_lsc_c10_angm30,900,east,east_0126,63000,1,0.125,18.0186572885,18.0186572885,18.0186572885,1,1,-13.582155339,11.8404842311,47.7484349758,41.0808663599,-12.1155113888,13.3374058298,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsc_c10_angm30,900,east,east_0054,27000,1,0.208333333333,17.9321904857,17.9321904857,17.9321904857,1,1,-15.9890034149,8.11881921292,56.1844129415,26.9203300258,-9.97965242532,14.8986574255,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsc_c10_angm30,900,east,east_0045,22500,1,0.0833333333333,17.1762494077,17.1762494077,17.1762494077,1,1,17.0594275217,-1.99986908317,4.86143627133,6.68624098023,17.114458908,-1.45562357923,copernicus_a2_land_core,30,false,30.9222222222
aqaba_lsc_c10_angm30,900,east,east_0167,83500,1,0.166666666667,17.10610419,17.10610419,17.10610419,1,1,17.0291277747,-1.62098975596,0.406830888198,5.43755806686,17.105672967,0.121461530709,gmrt_shore_blend,54,unknown,61.8444444444
aqaba_lsc_c10_angm30,900,west,west_0211,105500,4,1,9.75502566387,10.068411359,10.6951827492,4,4,-9.15839752036,1.21558187258,10.7414847533,6.78457985258,9.01838376671,1.80045027485,copernicus_a2_land_core,30,false,43.7306260454
aqaba_lsc_c10_angm30,900,west,west_0212,106000,3,0.625,8.28967155354,7.74823765858,8.48242258338,3,3,3.80582790671,5.23550079526,37.7111402087,53.9855774111,-4.77245890883,4.37246276098,copernicus_a2_land_core,30,false,30.9222222222
aqaba_lsc_c10_angm30,900,west,west_0214,107000,1,0.0416666666667,7.40945129719,7.40945129719,7.40945129719,1,0,-0.000496656014158,7.40945128055,55.876897722,89.9961594601,4.15650087674,6.13379727307,gmrt_shore_blend,54,unknown,61.8444444444
aqaba_lsc_c10_angm30,900,west,west_0213,106500,1,0.0416666666667,6.30055350148,6.30055350148,6.30055350148,1,0,0.689936046868,6.26266418358,45.1988324746,83.713273697,-4.43967663787,4.47059792155,gmrt_shore_blend,54,unknown,92.7666666667
aqaba_lsc_c10_angm30,900,west,west_0165,82500,1,0.0416666666667,6.11913434055,6.11913434055,6.11913434055,1,0,-0.586867237149,6.09092701677,89.2084053936,84.4964799934,0.0845388557891,6.1185503397,gmrt_shore_blend,54,unknown,322.837477937
aqaba_lsd_nc8_angm40,900,east,east_0011,5500,3,0.5,17.0916339277,16.8834303201,18.1589740151,3,3,-13.8523282015,9.4611193099,47.9471604116,35.8577128174,-10.837714438,11.4346869107,gmrt_shore_blend,54,unknown,61.8444444444
aqaba_lsd_nc8_angm40,900,east,east_0052,26000,1,0.0833333333333,17.7644312698,17.7644312698,17.7644312698,1,1,-13.5683602579,11.4662381908,25.2439343487,40.2002088558,-16.067933401,7.57605006306,gmrt_shore_blend,54,unknown,30.9222222222
aqaba_lsd_nc8_angm40,900,east,east_0017,8500,4,0.458333333333,15.5735245211,15.749069969,16.1001608647,4,3,13.592826274,-1.2464963703,26.2514106255,19.2451092736,10.4643558426,3.61452166476,copernicus_a2_land_core,30,false,30.9222222222
