side,station_id,distance_offshore_m,bed_elevation_m,water_depth_m,source_topo_id,native_resolution_m,effective_resolution_m,valid_source_data
east,east_0060,1350,-627.358198016,627.358198016,topo-bathy.tt3,30,30,true
east,east_0060,1400,-645.90708506,645.90708506,topo-bathy.tt3,30,30,true
east,east_0060,1450,-664.364735088,664.364735088,topo-bathy.tt3,30,30,true
east,east_0060,1500,-683.629622138,683.629622138,topo-bathy.tt3,30,30,true
east,east_0060,1550,-715.083183937,715.083183937,topo-bathy.tt3,30,30,true
east,east_0060,1600,-754.591382941,754.591382941,topo-bathy.tt3,30,30,true
east,east_0060,1650,-784.549282938,784.549282938,topo-bathy.tt3,30,30,true
east,east_0060,1700,-807.475563033,807.475563033,topo-bathy.tt3,30,30,true
east,east_0060,1750,-826.564276935,826.564276935,topo-bathy.tt3,30,30,true
east,east_0060,1800,-841.700190079,841.700190079,topo-bathy.tt3,30,30,true
east,east_0060,1850,-854.364304684,854.364304684,topo-bathy.tt3,30,30,true
east,east_0060,1900,-867.00997695,867.00997695,topo-bathy.tt3,30,30,true
east,east_0060,1950,-880.404058338,880.404058338,topo-bathy.tt3,30,30,true
east,east_0060,2000,-895.169384323,895.169384323,topo-bathy.tt3,30,30,true
east,east_0080,0,0.239584453512,-0.239584453512,topo-bathy.tt3,30,30,true
east,east_0080,50,-62.4498635786,62.4498635786,topo-bathy.tt3,30,30,true
east,east_0080,100,-109.856787039,109.856787039,topo-bathy.tt3,30,30,true
east,east_0080,150,-141.427845036,141.427845036,topo-bathy.tt3,30,30,true
east,east_0080,200,-164.134810144,164.134810144,topo-bathy.tt3,30,30,true
east,east_0080,250,-188.401658962,188.401658962,topo-bathy.tt3,30,30,true
east,east_0080,300,-208.988894107,208.988894107,topo-bathy.tt3,30,30,true
east,east_0080,350,-226.279500426,226.279500426,topo-bathy.tt3,30,30,true
east,east_0080,400,-130.267679349,130.267679349,topo-bathy.tt3,30,30,true
east,east_0080,450,-140.458533223,140.458533223,topo-bathy.tt3,30,30,true
east,east_0080,500,-183.637507086,183.637507086,topo-bathy.tt3,30,30,true
east,east_0080,550,-220.029118535,220.029118535,topo-bathy.tt3,30,30,true
east,east_0080,600,-245.962003959,245.962003959,topo-bathy.tt3,30,30,true
east,east_0080,650,-269.308111052,269.308111052,topo-bathy.tt3,30,30,true
east,east_0080,700,-287.896145039,287.896145039,topo-bathy.tt3,30,30,true
east,east_0080,750,-305.557799696,305.557799696,topo-bathy.tt3,30,30,true
east,east_0080,800,-323.223099949,323.223099949,topo-bathy.tt3,30,30,true
east,east_0080,850,-339.933231682,339.933231682,topo-bathy.tt3,30,30,true
east,east_0080,900,-355.154400392,355.154400392,topo-bathy.tt3,30,30,true
east,east_0080,950,-369.27432986,369.27432986,topo-bathy.tt3,30,30,true
east,east_0080,1000,-384.737575574,384.737575574,topo-bathy.tt3,30,30,true
